Feature,4_IBA_23,4_IBA_25,4_IBA_32,4_IBA_35,4_IBA_37,4_IBA_38,4_IBA_39,4_IBA_40,5_MAR_41,5_MAR_42,5_MAR_43,5_MAR_44,5_MAR_45,5_MAR_46,5_MAR_47,5_MAR_48,2_OCT_10,2_OCT_11,2_OCT_12,2_OCT_13,2_OCT_14,2_OCT_15,2_OCT_16,2_OCT_17,2_OCT_18,1_SEPT_1,1_SEPT_2,1_SEPT_3,1_SEPT_4,1_SEPT_5,1_SEPT_6,1_SEPT_7,1_SEPT_8,1_SEPT_9,3_TOR_19,3_TOR_20,3_TOR_21,3_TOR_22,3_TOR_24,3_TOR_26,3_TOR_27,3_TOR_28,3_TOR_29,3_TOR_30,3_TOR_31,3_TOR_33,3_TOR_34,3_TOR_36
biotinamide,1822074.611,8530877.999,5540090.87,5895615.544,3345416.493,6477099.973,4033410.92,3414276.718,3179308.996,4823526.199,5027505.744,3080427.752,3060407.657,5017726.727,1533410.288,2104512.44,1125171.828,4586695.185,4556656.301,3146091.856,2841845.145,4250974.819,4067858.185,6323656.871,4863173.583,3109201.926,2346118.667,1532004.233,3683309.707,4745615.712,1230749.405,1722857.788,2033640.713,1198847.521,14233066.69,16922138.37,4993095.832,10453303.97,2064328.963,7378997.15,24430667.08,5302439.565,8674641.865,3415309.588,4830649.45,12804738.87,6562937.314,12708656.51
Butenylcarnitine,4707028.058,12136297.53,4187947.172,16561886.11,12343357.22,11599365.53,9678823.306,42199030.79,6592218.53,27495707.25,12897564.83,11713741.28,4410724.053,5158083.381,10578309.22,1199084.4,35591981.17,5984199.142,6130621.385,8031477.514,4937924.875,6446829.044,7823180.511,39646692.95,11316086.83,3193147.997,3808378.818,4135430.089,5426008.838,3289379.541,2931127.437,5283576.172,3849836.837,2144727.448,7725244.71,7320198.096,5408270.158,9791919.555,4757824.039,9059062.594,16259229.99,14846226.03,5979716.023,12675993.37,3966056.352,8401127.11,22555012.36,136824279.1
C12-Carnitine,11879591.53,82227854.74,20670208.51,18440219.59,12158694.31,62922625.78,38143912.42,22614999.17,4918252.537,7608607.119,38054848.4,6988591.381,17549743.09,7638807.295,14731360.88,9664911.833,12647921.47,32555649.96,40847658.18,54026882.34,25137704.06,41853326.67,49715254.67,53096124.55,23670646.39,7978055.887,10582800.19,12527904.18,29538577.67,6595458.081,10756817.47,11707524.27,28127095.85,5649205.736,15074981.69,30312441.83,12533944.88,17490098.22,15882198.92,24836282.99,9973054.176,25529424.32,29841431.07,20379421.55,30398964.15,21648538.94,13324364.97,13588215.23
C14-Carnitine,17855367.47,33876196.21,15102535.04,12974299.86,5797889.463,35700407.75,18963508.28,12057496.86,11536011.09,11803772.05,27484091.99,10207976.86,11200194.65,11662375.59,15098050.79,10606994.79,16383379.85,20937444.84,37849471.31,48261081.02,22569456.39,26610812.93,31680737.19,35264348.2,14908772.63,10993081.65,14653295.22,14845955.22,23769841.47,12579788.65,13183752.63,14961486.27,31366892.08,11704968.58,13518179.19,23254459.15,10849648.48,16515179.38,11649509.21,20140058.37,10477134.56,20800587.71,19372499.13,13599153.45,21220702.4,15335762.51,10209652.81,10804119.82
C8-Carnitine,32346316.7,342392088.6,116206035.1,131847985.8,92835409.62,146586194.1,177613813.6,158618378.8,32126928.98,48508757.75,141283424.8,78932201.36,105801787.2,34064479.97,44874737.45,60037816.97,139002948.3,152256082.9,156994860.8,165714757.8,92429842.24,142537233.5,114949290.4,143406607.7,222682643.9,27167036.34,46725444.55,32010473.1,70772327.95,29772072.1,21299292.24,50055920.95,84184111.96,27719323.59,67273977.21,106454898.5,127555164.5,83021016.02,94981059.35,142400489.8,68717411.66,72929349.31,190500119.7,179253899.2,135923081.7,119649996.8,173571242.2,53177407.83
Cacodylic acid,789295.6481,3453260.999,5183085.496,5264197.893,11232812.59,7894982.112,9186963.354,2944476.224,1113990.736,2987896.216,1842876.873,5116095.534,1021057.416,1590639.994,2640138.762,2424537.712,1085266.306,11386167.95,7635097.616,1356760.046,5225877.944,6005827.225,5211124.881,10628408.99,3419473.603,3631712.305,2293615.243,5892910.374,2483238.835,3089459.459,2258086.047,3514131.324,3060977.94,2477070.431,6085552.438,964702.9207,8990523.904,8974496.362,10788058.53,8987061.193,3115806.451,3438165.131,25630306.01,9928422.822,15792189.82,6302969.77,9918320.379,63102169.01
Caprolactam,6326952.257,11160062.92,8383343.945,6188111.749,7305840.227,7853461.119,4386404.511,5449478.947,5332979.458,6801185.475,6006421.151,6061523.206,6686005.026,4797905.82,7093348.413,5685654.857,8628776.538,10305740.1,16085955.75,13936979.03,15917370.87,16551265.33,8179970.955,16240294.91,8483042.598,4251764.262,5726729.211,6566598.089,94319920.78,17510519.97,33726034.91,9242880.944,16115926.09,7930544.982,10186134.36,12763018.32,9117789.269,7368434.683,4424584.998,7614920.085,8742103.198,9271693.048,8487890.893,6348151.819,8397482.903,7026346.266,9899336.625,8420443.4
Carbocysteine,983624.9854,452902.0965,1015356.974,623111.3785,277273.1184,448381.7076,1221269.45,471447.2091,605570.1067,525437.1372,311765.3449,796099.0099,242241.5295,472480.4829,478453.4268,293232.7817,1723194.543,1347575.2,1165476.73,734813.2762,1206968.72,1174951.718,1251735.066,2174995.686,1216283.246,4111889.071,1627946.585,1984109.465,4020685.615,1876541.505,1291377.035,2668839.107,1551701.886,1943582.2,1525049.814,861204.3754,1180027.957,532270.6069,903727.6626,544313.0942,377764.0578,660545.2663,841350.3452,368857.0936,525100.462,569491.7246,964849.6064,503637.089
carisoprodol,162887.5803,347293.6604,186590.6398,298485.2378,392403.9256,688751.1485,932842.8898,326698.9367,193939.9238,106300.1278,299559.7505,110197.3511,393937.1053,96725.86213,193660.4182,791183.9536,1869877.166,464633.6444,857734.9558,122025.0629,585750.5677,2027958.092,1038786.269,213724.659,320020.3628,385747.1939,484387.0176,2990137.478,318149.4041,1642209.235,1688327.243,992418.0371,811591.1699,309706.1254,535444.9035,491703.7687,1138738.159,689375.6582,272660.1525,258947.0681,278656.1672,1835458.763,286166.2766,528338.1624,205508.4951,2777787.674,525198.3712,1124845.272
Carnosine,1566613911,4386910726,2916921555,2816974853,3196813631,3433319549,2938203574,2663724887,3632342054,4513414342,2961272178,4284518428,3424891348,4303262160,7218306914,3091792600,2668299308,2734341271,2401790344,1604493447,3754636478,1136074665,3063507598,3722628075,1441986518,1532751688,1099380004,2483301316,1507017678,2269758152,3153377737,2276853114,1074141318,2257766553,3259445798,3426878009,2061832546,2842429446,3191750316,2487732379,3408804548,1945175989,2687348954,4002108362,3522431733,3569665318,2805327438,3887238912
